# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
1.2,-2.9,2.9033,1366,0.200215,opx;ol,50.0542,0.970876,15.3327,0.144236,3.20298,14.5571,13.7463,1.83831,0.153346,0.8965
1.2,-2.8,3.2540,1363,0.199746,opx;ol,49.8882,0.968735,15.3397,0.143516,3.56015,14.3814,13.7299,1.83495,0.153419,0.8951
1.2,-2.7,3.6465,1361,0.200132,ol;opx,49.7251,0.965557,15.3227,0.144381,3.95659,14.2233,13.6844,1.8256,0.152382,0.8931
1.2,-2.6,4.0858,1357,0.200192,ol;opx,49.5428,0.961091,15.3073,0.144503,4.38854,14.0371,13.6507,1.8164,0.151588,0.8918
1.2,-2.5,4.5772,1354,0.200012,ol;opx,49.3291,0.959093,15.3122,0.144163,4.86215,13.821,13.6126,1.80944,0.150302,0.8890
1.2,-2.4,5.1268,1350,0.200171,opx;ol,49.1032,0.955308,15.3022,0.145116,5.3782,13.5989,13.5696,1.79762,0.14975,0.8868
1.2,-2.3,5.7411,1345,0.200082,ol;opx,48.853,0.951974,15.3054,0.145489,5.94055,13.3455,13.5197,1.78922,0.1491,0.8833
1.2,-2.2,6.4276,1340,0.199768,opx;ol,48.5763,0.948725,15.3143,0.146192,6.54478,13.0635,13.4766,1.7812,0.148384,0.8800
1.2,-2.1,7.1942,1336,0.200096,ol;cpx;spl;opx,48.3189,0.939517,15.2936,0.143959,7.20537,12.7975,13.3903,1.76382,0.146884,0.8756
1.2,-2,8.0500,1331,0.199109,opx;ol;cpx;spl,48.0681,0.933814,15.283,0.135448,7.91426,12.4998,13.2662,1.75322,0.146221,0.8680
