# Generated by make_continental_compositions.jl -- do not edit by hand.
# Stage 2: hydrous partial melting of the stage-1 oceanic crust (TTG model).
# isobaric 15.0 kbar, H2O=3.0 wt%, F_TARGET=0.20, batch melting
# Melt is the continental crust; the residue is discarded.
mg_si,delta_iw,T_melt2,melt_fraction2,residual_phases2,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O
0.6,-2.7,843,0.200388,g;amp;cpx;q;ru,72.7314,1.42366,13.1662,0.00167296,1.15216,3.84522,3.33194,3.64544,0.702315
0.6,-2.6,841,0.199706,amp;g;cpx;q;ru,72.7025,1.4101,13.2029,0.00111794,1.2205,3.75387,3.29703,3.71835,0.693561
0.6,-2.5,839,0.200078,amp;g;cpx;q;ru,72.662,1.38949,13.2892,0.000745256,1.26401,3.59893,3.207,3.87484,0.713789
0.6,-2.4,837,0.199657,amp;g;cpx;q;ru,72.6595,1.36867,13.351,0.000499562,1.29404,3.48368,3.15057,3.98701,0.705029
0.6,-2.3,835,0.20011,g;cpx;amp;q;ru,72.6462,1.34171,13.4537,0.000345985,1.30818,3.31604,3.04463,4.18044,0.708765
0.6,-2.2,832,0.199992,amp;g;cpx;q;ru,72.6617,1.31119,13.5346,0.000250829,1.31696,3.16457,2.93507,4.35606,0.719617
0.6,-2.1,829,0.200476,g;cpx;amp;q;ru,72.7267,1.2821,13.5545,0.00018606,1.33252,3.05776,2.82039,4.50417,0.721695
0.6,-2,825,0.200201,cpx;g;amp;q;ru,72.7968,1.24883,13.5861,0.000141556,1.34373,2.93736,2.70059,4.66572,0.720721
0.6,-1.9,821,0.200539,g;cpx;amp;q;ru,72.8864,1.21544,13.5938,0.00010864,1.35929,2.82846,2.56551,4.83227,0.718631
0.6,-1.8,816,0.199919,g;cpx;amp;q;ru,72.9698,1.17932,13.6166,8.49366e-05,1.37037,2.70841,2.43425,4.9964,0.724765
0.6,-1.7,807,0.199498,g;amp;cpx;q;ru,72.9805,1.11218,13.8322,5.825e-05,1.34053,2.41092,2.23546,5.35374,0.734452
0.6,-1.6,798,0.200218,cpx;g;q;ru,73.2704,1.05841,13.6909,4.36799e-05,1.42103,2.27681,2.01636,5.53403,0.732025
0.6,-1.5,806,0.200147,g;cpx;opx;q;ru,73.8758,1.10215,12.9008,4.60392e-05,1.91548,2.27729,1.89367,5.31869,0.716064
0.6,-1.4,814,0.20016,g;cpx;opx;q;ru,74.3313,1.15361,12.1855,4.92465e-05,2.49244,2.22729,1.86545,5.05257,0.691741
0.6,-1.3,821,0.199993,cpx;g;opx;q;ru,74.6746,1.20421,11.5115,5.31024e-05,3.15121,2.14594,1.8653,4.78165,0.665489
0.6,-1.2,950,0.200242,g;opx;cpx;cpx;ilm,52.5536,1.90776,14.8981,0.000274445,16.1724,4.39152,4.39096,5.04994,0.635333
0.6,-1.1,951,0.200014,g;cpx;cpx;ilm,51.6655,1.82551,14.5401,0.000274432,17.7258,4.28762,4.47851,4.8672,0.609455
0.6,-1,951,0.199698,g;cpx;ilm,50.8885,1.74013,14.2288,0.000268051,19.1532,4.13117,4.53293,4.73289,0.592186
0.65,-5,846,0.199864,cpx;amp;spl;q;ru,73.2813,1.44962,13.2859,0.00528404,0.0924024,4.1368,3.43865,3.57778,0.732316
0.65,-4.5,846,0.200315,cpx;spl;amp;q;ru,73.2481,1.44699,13.2771,0.00509776,0.161814,4.10733,3.40987,3.60518,0.738556
0.65,-4,846,0.199563,amp;spl;cpx;q;ru,73.1884,1.44219,13.265,0.00473903,0.283984,4.07182,3.39842,3.61277,0.732622
0.65,-3.5,846,0.200516,amp;cpx;spl;q;ru,73.0883,1.44143,13.2147,0.00424939,0.493941,4.04283,3.37186,3.61853,0.724115
0.65,-3,844,0.199615,amp;spl;cpx;q;ru,72.9014,1.43235,13.1814,0.00349607,0.845508,3.9498,3.34507,3.63174,0.70924
0.65,-2.9,844,0.200075,spl;cpx;amp;q;ru,72.8503,1.43151,13.1714,0.00334871,0.937526,3.92516,3.33097,3.6451,0.704696
0.65,-2.8,843,0.199884,g;cpx;amp;q;ru,72.8067,1.42337,13.1909,0.00284051,1.0151,3.85686,3.29901,3.6958,0.709418
0.65,-2.7,843,0.199452,g;amp;cpx;q;ru,72.7658,1.41703,13.1992,0.00208391,1.10465,3.80078,3.28339,3.73394,0.693078
0.65,-2.6,842,0.199992,g;cpx;amp;q;ru,72.7046,1.40347,13.2572,0.00146848,1.17692,3.67679,3.21017,3.85073,0.718647
