Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.5,1.0,0.1,1e-06,0.05,0.3,0.25,255.73061348149722
0.5,1.0,0.1,0.001,0.05,0.3,0.25,265.54256953168857
0.5,1.0,0.1,0.01,0.05,0.3,0.25,271.1049321088702
0.5,1.0,1.0,0.1,0.05,0.3,0.25,328.32158049749495
0.5,1.0,1.0,1e-06,0.05,0.3,0.25,292.68924640548806
0.5,1.0,1.0,1e-05,0.05,0.3,0.25,293.3790410823887
0.5,1.0,0.1,0.1,0.05,0.3,0.25,282.71483331238124
0.5,1.0,1.0,0.001,0.05,0.3,0.25,299.0048285818396
0.5,1.0,0.1,1.0,0.05,0.3,0.25,300.81581331465816
0.5,1.0,1.0,0.0001,0.05,0.3,0.25,295.3715012981696
0.5,1.0,10.0,0.01,0.05,0.3,0.25,480.5044702815399
0.5,1.0,0.1,10.0,0.05,0.3,0.25,327.462574957357
0.5,1.0,1.0,1.0,0.05,0.3,0.25,361.96039044284134
0.5,1.0,10.0,1e-05,0.05,0.3,0.25,464.77986491323065
0.5,1.0,1.0,0.01,0.05,0.3,0.25,306.6421636656455
0.5,1.0,1.0,10.0,0.05,0.3,0.25,406.1257453915935
0.5,1.0,10.0,0.0001,0.05,0.3,0.25,466.2442545411271
0.6,1.0,1e-06,0.0001,0.05,0.3,0.25,224.30471488769308
0.6,1.0,1e-06,1e-06,0.05,0.3,0.25,220.1354179625728
0.5,1.0,10.0,1e-06,0.05,0.3,0.25,464.4129005359933
0.6,1.0,1e-06,1e-05,0.05,0.3,0.25,222.03741971636603
0.5,1.0,10.0,0.001,0.05,0.3,0.25,470.7554930368648
0.6,1.0,1e-06,0.001,0.05,0.3,0.25,226.97459442712264
0.6,1.0,1e-06,0.01,0.05,0.3,0.25,229.60337778793945
0.6,1.0,1e-06,1.0,0.05,0.3,0.25,234.9141551486082
0.6,1.0,1e-06,0.1,0.05,0.3,0.25,233.06580656635194
0.6,1.0,1e-05,0.0001,0.05,0.3,0.25,228.0318002015685
0.6,1.0,1e-05,1e-06,0.05,0.3,0.25,223.48657892853208
0.6,1.0,1e-05,1e-05,0.05,0.3,0.25,225.56587278496204
0.6,1.0,1e-06,10.0,0.05,0.3,0.25,223.82631303389016
0.6,1.0,1e-05,0.001,0.05,0.3,0.25,230.93113701190373
0.6,1.0,1e-05,0.01,0.05,0.3,0.25,233.87520674493265
0.5,1.0,10.0,10.0,0.05,0.3,0.25,585.5805431382576
0.6,1.0,0.0001,1e-06,0.05,0.3,0.25,229.5150821295945
0.6,1.0,0.0001,1e-05,0.05,0.3,0.25,231.90372114586881
0.5,1.0,10.0,0.1,0.05,0.3,0.25,498.90996692179135
0.6,1.0,1e-05,0.1,0.05,0.3,0.25,238.01790639053468
0.5,1.0,10.0,1.0,0.05,0.3,0.25,537.212033705278
0.6,1.0,1e-05,1.0,0.05,0.3,0.25,241.46454336823427
0.6,1.0,1e-05,10.0,0.05,0.3,0.25,235.00942052847157
0.6,1.0,0.0001,0.0001,0.05,0.3,0.25,234.76981459434114
0.6,1.0,0.0001,0.001,0.05,0.3,0.25,238.14458716623506
0.3,1.0,1e-06,10.0,0.05,0.3,0.25,165.80523026364165
0.6,1.0,0.0001,0.1,0.05,0.3,0.25,247.12191759667013
0.6,1.0,0.0001,0.01,0.05,0.3,0.25,241.70746197282833
0.6,1.0,0.0001,1.0,0.05,0.3,0.25,253.21516698362765
0.6,1.0,0.0001,10.0,0.05,0.3,0.25,252.556017532196
0.6,1.0,0.001,1e-05,0.05,0.3,0.25,241.1804491731661
0.6,1.0,0.001,1e-06,0.05,0.3,0.25,238.36327256166112
0.6,1.0,0.001,0.0001,0.05,0.3,0.25,244.6375059184654
0.6,1.0,0.001,0.001,0.05,0.3,0.25,248.74801977857723
0.6,1.0,0.001,0.01,0.05,0.3,0.25,253.30178307744885
0.6,1.0,0.001,0.1,0.05,0.3,0.25,260.658778904163
0.6,1.0,0.001,1.0,0.05,0.3,0.25,270.2674316309827
0.6,1.0,0.01,1e-05,0.05,0.3,0.25,253.65371384096855
0.6,1.0,0.01,0.0001,0.05,0.3,0.25,257.64254230800407
0.6,1.0,0.01,1e-06,0.05,0.3,0.25,250.58696984844943
0.6,1.0,0.001,10.0,0.05,0.3,0.25,274.9921926129121
0.6,1.0,0.01,0.001,0.05,0.3,0.25,262.4496886100141
0.6,1.0,0.01,0.01,0.05,0.3,0.25,268.1458654545754
0.6,1.0,0.01,1.0,0.05,0.3,0.25,291.28330282002673
0.6,1.0,0.1,1e-06,0.05,0.3,0.25,267.43626733712455
0.6,1.0,0.1,1e-05,0.05,0.3,0.25,269.60367777909653
0.6,1.0,0.01,0.1,0.05,0.3,0.25,278.01870411973636
