Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_473,2004.0838475723824,M5,6371000.0,5.972e+24,128466.51364820232,0.6470897317130575,0.0097457561776673,0.05,0.6666,True,0.77,False,0.55,True,True,552.5,Success
run_474,1613.1833050752134,M5,6371000.0,5.972e+24,20888.091002669,6.033761179179224e-05,0.4021542358461556,0.05,0.6666,True,0.77,False,0.55,True,True,413.056,Success
run_469,1101.9833635381065,M5,6371000.0,5.972e+24,101647.9292997558,0.0402520296987957,1.706237783527423e-05,0.05,0.6666,True,0.77,False,0.55,True,True,358.386,Success
run_472,452.7610673689515,M5,6371000.0,5.972e+24,26960.048987807477,8.30663328433248e-06,1.5437050959334308e-06,0.05,0.6666,True,0.77,False,0.55,True,True,256.086,Success
run_471,931.310306590684,M5,6371000.0,5.972e+24,11500.291691426915,2.137476162199272e-06,0.0002090411340075,0.05,0.6666,True,0.77,False,0.55,True,True,295.975,Success
run_475,545.6420071705255,M5,6371000.0,5.972e+24,14945.061417339395,0.0003675356659251,0.1289088543517712,0.05,0.6666,True,0.77,False,0.55,True,True,299.035,Success
run_470,1566.0443098769274,M5,6371000.0,5.972e+24,326921.1693370088,0.0115852593169382,3.106872612454857e-06,0.05,0.6666,True,0.77,False,0.55,True,True,398.532,Success
run_480,1958.1883345939373,M5,6371000.0,5.972e+24,11070.847514869813,0.7301352898478705,0.75788298648766,0.05,0.6666,True,0.77,False,0.55,True,True,482.797,Success
run_479,1828.6054145539051,M5,6371000.0,5.972e+24,220943.6057660744,0.0340774153810082,0.9647353476233236,0.05,0.6666,True,0.77,False,0.55,True,True,600.267,Success
run_481,1467.924869916761,M5,6371000.0,5.972e+24,187304.12636929413,0.0001351115413054,0.0322747483332283,0.05,0.6666,True,0.77,False,0.55,True,True,466.436,Success
run_476,779.4622131088845,M5,6371000.0,5.972e+24,33199.75618244068,0.0012757713430251,0.0009741961394056,0.05,0.6666,True,0.77,False,0.55,True,True,296.811,Success
run_477,1416.9342312414203,M5,6371000.0,5.972e+24,66665.56448149892,0.69662644296105,9.789106545167356e-06,0.05,0.6666,True,0.77,False,0.55,True,True,389.73,Success
run_484,326.9327588985093,M5,6371000.0,5.972e+24,948333.0679806382,0.0018577971977094,0.000613280835978,0.05,0.6666,True,0.77,False,0.55,True,True,296.961,Success
run_478,749.8719861927842,M5,6371000.0,5.972e+24,177739.0779034881,0.0991084186477267,9.187628038113875e-06,0.05,0.6666,True,0.77,False,0.55,True,True,337.74,Success
run_483,1129.4981325702415,M5,6371000.0,5.972e+24,394990.0536925909,1.6218293865243557e-06,0.8153096394490345,0.05,0.6666,True,0.77,False,0.55,True,True,570.891,Success
run_487,508.8813361481832,M5,6371000.0,5.972e+24,116905.0400813983,5.079445451097325e-06,0.0005688165503704,0.05,0.6666,True,0.77,False,0.55,True,True,291.193,Success
run_482,769.1357207809757,M5,6371000.0,5.972e+24,140936.4546071235,0.0074725685307033,3.155956678659523e-06,0.05,0.6666,True,0.77,False,0.55,True,True,325.968,Success
run_491,1766.4350755388175,M5,6371000.0,5.972e+24,103494.59930600684,0.0029109593073334,0.001001078336495,0.05,0.6666,True,0.77,False,0.55,True,True,423.284,Success
run_485,517.1304120411064,M5,6371000.0,5.972e+24,86290.0778816838,0.1765507367057548,4.833443436542465e-06,0.05,0.6666,True,0.77,False,0.55,True,True,283.966,Success
run_488,647.2519490533323,M5,6371000.0,5.972e+24,128142.7595599862,0.8376678904290288,0.0001727754545927,0.05,0.6666,True,0.77,False,0.55,True,True,336.607,Success
run_244,1237.0922501679104,M5,6371000.0,5.972e+24,216518.1444009041,0.0055451734565722,1.3001167775549036e-06,0.05,0.6666,True,0.77,False,0.55,True,True,366.024,Success
run_486,1515.1638642556018,M5,6371000.0,5.972e+24,262143.3533597345,0.0353742784031649,0.0009390625789176,0.05,0.6666,True,0.77,False,0.55,True,True,430.392,Success
run_489,1262.426856296261,M5,6371000.0,5.972e+24,542487.4720993121,0.0336068711314778,0.0007685267690256,0.05,0.6666,True,0.77,False,0.55,True,True,424.515,Success
run_496,1336.4589339190131,M5,6371000.0,5.972e+24,22460.98655458841,1.3133422841633028e-05,0.1068697382471525,0.05,0.6666,True,0.77,False,0.55,True,True,373.57,Success
run_493,1386.5541982981988,M5,6371000.0,5.972e+24,171221.45405073126,0.0003600786497434,5.536053920365409e-05,0.05,0.6666,True,0.77,False,0.55,True,True,375.274,Success
run_498,1351.9239329162508,M5,6371000.0,5.972e+24,15190.59725970424,8.525051556928539e-06,0.0638275578129275,0.05,0.6666,True,0.77,False,0.55,True,True,365.12,Success
run_490,1601.2756424953202,M5,6371000.0,5.972e+24,41149.17411445822,0.6245105332384279,0.00582189681047,0.05,0.6666,True,0.77,False,0.55,True,True,420.612,Success
run_494,1460.4177443459764,M5,6371000.0,5.972e+24,53267.23258533669,0.0166300555497453,2.483765983419054e-06,0.05,0.6666,True,0.77,False,0.55,True,True,374.701,Success
run_499,846.2804812512655,M5,6371000.0,5.972e+24,423292.1309790716,8.172006055579768e-06,0.0145772870707012,0.05,0.6666,True,0.77,False,0.55,True,True,400.511,Success
run_492,290.6369265690147,M5,6371000.0,5.972e+24,726513.0830432456,4.987530093190909e-06,0.9512661117230882,0.05,0.6666,True,0.77,False,0.55,True,True,364.178,Success
run_495,1435.1602288365975,M5,6371000.0,5.972e+24,10658.44471933545,1.1323563755327384e-06,3.896606976168202e-06,0.05,0.6666,True,0.77,False,0.55,True,True,360.815,Success
run_497,1547.139210940804,M5,6371000.0,5.972e+24,250730.2031906415,5.8809454402074527e-05,1.8616081848302968e-06,0.05,0.6666,True,0.77,False,0.55,True,True,376.392,Success
run_501,492.1155280394036,M5,6371000.0,5.972e+24,676347.4398963832,0.000151487099398,0.0135167378419054,0.05,0.6666,True,0.77,False,0.55,True,True,358.601,Success
run_502,706.1673686223269,M5,6371000.0,5.972e+24,15580.141352181365,0.000132447022097,0.0210308169918717,0.05,0.6666,True,0.77,False,0.55,True,True,311.6,Success
run_505,615.7087981003706,M5,6371000.0,5.972e+24,936811.1716706024,0.5486233302636073,5.038150348087389e-06,0.05,0.6666,True,0.77,False,0.55,True,True,369.223,Success
run_507,1048.50782523607,M5,6371000.0,5.972e+24,50458.91005904467,0.0003524019813406,0.0059582644220897,0.05,0.6666,True,0.77,False,0.55,True,True,357.997,Success
run_500,1526.693593626189,M5,6371000.0,5.972e+24,749300.8917359692,0.0012130761910088,2.5193008734717357e-05,0.05,0.6666,True,0.77,False,0.55,True,True,410.362,Success
run_504,332.884846463404,M5,6371000.0,5.972e+24,46720.4847359902,0.3436113714568482,0.0003235418695663,0.05,0.6666,True,0.77,False,0.55,True,True,262.627,Success
