Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_31,181.83704005019743,G2,6371000.0,5.972e+24,184049.26264994455,0.0840930140619234,0.0006915178141443,0.05,0.25,True,0.77,False,0.55,True,True,190.688,Success
run_32,884.2966620291866,G2,6371000.0,5.972e+24,268694.4731240907,0.0413643569269494,4.98420248822432e-05,0.05,0.25,True,0.77,False,0.55,True,True,269.309,Success
run_33,993.0028063850168,G2,6371000.0,5.972e+24,120015.711417299,0.4273602918217503,0.0045056488906489,0.05,0.25,True,0.77,False,0.55,True,True,288.459,Success
run_34,1109.8504837852508,G2,6371000.0,5.972e+24,762530.7745436073,2.173925249108918e-05,0.0005692463032679,0.05,0.25,True,0.77,False,0.55,True,True,327.716,Success
run_36,1565.122015556648,G2,6371000.0,5.972e+24,259305.76951877325,1.2099088102973892e-05,2.7708263962629267e-05,0.05,0.25,True,0.77,False,0.55,True,True,283.773,Success
run_35,1842.1404143910784,G2,6371000.0,5.972e+24,13220.181984282826,0.1248688801082562,0.1632529953469869,0.05,0.25,True,0.77,False,0.55,True,True,286.227,Success
run_37,537.9202716276151,G2,6371000.0,5.972e+24,10534.264487698209,3.1255564692331574e-06,0.0013624265691036,0.05,0.25,True,0.77,False,0.55,True,True,208.124,Success
run_38,1808.8605549178317,G2,6371000.0,5.972e+24,137951.5183449503,5.445355068106606e-06,0.0014637257140336,0.05,0.25,True,0.77,False,0.55,True,True,326.334,Success
run_39,365.94020708222376,G2,6371000.0,5.972e+24,630810.4929790734,0.2426348841429777,0.0939979381841225,0.05,0.25,True,0.77,False,0.55,True,True,332.561,Success
run_40,210.3055858863096,G2,6371000.0,5.972e+24,17359.465876879778,1.3302081240277405e-05,0.1640970094627629,0.05,0.25,True,0.77,False,0.55,True,True,190.293,Success
run_46,158.5056459263963,G2,6371000.0,5.972e+24,866816.6872323597,4.045795228242954e-05,0.4414209723195385,0.05,0.25,True,0.77,False,0.55,True,True,255.005,Success
run_41,1194.1106043992963,G2,6371000.0,5.972e+24,205583.85849655076,0.0066335075827947,9.023852225377272e-05,0.05,0.25,True,0.77,False,0.55,True,True,279.501,Success
run_44,782.9431762052991,G2,6371000.0,5.972e+24,459493.7393955376,0.0003098690727998,3.852202885531807e-06,0.05,0.25,True,0.77,False,0.55,True,True,245.469,Success
run_43,479.8728875663896,G2,6371000.0,5.972e+24,14060.63861694367,0.0027731436025,0.0002992730932509,0.05,0.25,True,0.77,False,0.55,True,True,203.192,Success
run_45,1312.6358153180831,G2,6371000.0,5.972e+24,45317.485688027,0.5907794587199027,1.3365630246572546e-05,0.05,0.25,True,0.77,False,0.55,True,True,268.586,Success
