Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.3,1.0,0.1,10.0,0.05,0.3,0.25,230.56399415375398
0.3,1.0,1.0,10.0,0.05,0.3,0.25,231.0223171495481
0.3,1.0,0.1,0.1,0.05,0.3,0.25,227.75422260622432
0.3,1.0,10.0,1e-06,0.05,0.3,0.25,207.73763100431904
0.3,1.0,1.0,0.001,0.05,0.3,0.25,220.22404070769758
0.3,1.0,10.0,0.0001,0.05,0.3,0.25,213.4981040057254
0.4,1.0,1e-06,1e-06,0.05,0.3,0.25,198.81629933671067
0.3,1.0,10.0,1e-05,0.05,0.3,0.25,210.24462875372316
0.3,1.0,10.0,0.1,0.05,0.3,0.25,230.73586156296832
0.4,1.0,1e-06,0.0001,0.05,0.3,0.25,202.0146786658719
0.4,1.0,1e-06,0.1,0.05,0.3,0.25,208.7482641637608
0.4,1.0,1e-06,0.001,0.05,0.3,0.25,204.17309279840987
0.3,1.0,10.0,0.01,0.05,0.3,0.25,222.85665387926193
0.3,1.0,10.0,10.0,0.05,0.3,0.25,233.81382448079526
0.4,1.0,1e-06,0.01,0.05,0.3,0.25,206.24402769598
0.4,1.0,1e-06,10.0,0.05,0.3,0.25,215.57207850229096
0.4,1.0,1e-06,1.0,0.05,0.3,0.25,215.6137898121791
0.4,1.0,1e-06,1e-05,0.05,0.3,0.25,200.30990011440275
0.3,1.0,10.0,0.001,0.05,0.3,0.25,218.08335836479392
0.3,1.0,10.0,1.0,0.05,0.3,0.25,244.96175039158004
0.4,1.0,1e-05,0.0001,0.05,0.3,0.25,205.6790973228663
0.4,1.0,1e-05,1.0,0.05,0.3,0.25,221.52952488792099
0.4,1.0,1e-05,0.001,0.05,0.3,0.25,208.05931735644168
0.4,1.0,1e-05,1e-05,0.05,0.3,0.25,203.79318822979099
0.4,1.0,1e-05,1e-06,0.05,0.3,0.25,202.14048789481498
0.4,1.0,1e-05,0.01,0.05,0.3,0.25,210.38787223935742
0.4,1.0,1e-05,0.1,0.05,0.3,0.25,213.37152624474098
0.4,1.0,0.0001,1e-05,0.05,0.3,0.25,209.18248403031762
0.4,1.0,0.0001,1e-06,0.05,0.3,0.25,207.27890283266822
0.4,1.0,1e-05,10.0,0.05,0.3,0.25,218.15923903751647
0.4,1.0,0.0001,0.001,0.05,0.3,0.25,214.15236511638525
0.4,1.0,0.001,1e-06,0.05,0.3,0.25,214.32144581834643
0.4,1.0,0.0001,0.0001,0.05,0.3,0.25,211.38797619024757
0.4,1.0,0.001,1e-05,0.05,0.3,0.25,216.56955743049284
0.4,1.0,0.001,0.0001,0.05,0.3,0.25,219.2190126343431
0.4,1.0,0.0001,1.0,0.05,0.3,0.25,231.8267360149083
0.4,1.0,0.001,0.001,0.05,0.3,0.25,222.53513666744678
0.4,1.0,0.0001,0.01,0.05,0.3,0.25,216.8994153242853
0.4,1.0,0.0001,0.1,0.05,0.3,0.25,220.66400507348376
0.4,1.0,0.001,0.1,0.05,0.3,0.25,230.79603003111907
0.4,1.0,0.0001,10.0,0.05,0.3,0.25,224.0279391683824
0.4,1.0,0.001,10.0,0.05,0.3,0.25,234.27570736048153
0.4,1.0,0.01,1e-06,0.05,0.3,0.25,222.0718610317033
0.4,1.0,0.001,1.0,0.05,0.3,0.25,245.6478876390768
0.4,1.0,0.01,1e-05,0.05,0.3,0.25,224.68235524161705
0.4,1.0,0.001,0.01,0.05,0.3,0.25,225.87058467545054
0.4,1.0,0.01,0.0001,0.05,0.3,0.25,227.83002514999595
0.4,1.0,0.01,0.001,0.05,0.3,0.25,231.75074542818479
0.4,1.0,0.01,1.0,0.05,0.3,0.25,260.49868998733973
0.4,1.0,0.01,0.1,0.05,0.3,0.25,242.02515503529793
0.4,1.0,0.1,1e-06,0.05,0.3,0.25,223.78337773397308
0.4,1.0,0.1,0.001,0.05,0.3,0.25,233.81319479644858
0.4,1.0,0.1,10.0,0.05,0.3,0.25,249.9341222747508
0.4,1.0,0.01,0.01,0.05,0.3,0.25,235.77224161607117
0.4,1.0,1.0,1e-06,0.05,0.3,0.25,224.5946157588699
0.4,1.0,0.1,0.1,0.05,0.3,0.25,244.6615025146914
0.4,1.0,0.01,10.0,0.05,0.3,0.25,246.9790015210816
0.4,1.0,0.1,0.0001,0.05,0.3,0.25,229.7521563997165
0.4,1.0,0.1,0.01,0.05,0.3,0.25,238.002399917619
0.4,1.0,0.1,1.0,0.05,0.3,0.25,263.69203059952065
0.4,1.0,0.1,1e-05,0.05,0.3,0.25,226.48707964698337
0.4,1.0,1.0,0.0001,0.05,0.3,0.25,230.81826665645102
0.4,1.0,1.0,10.0,0.05,0.3,0.25,250.4493568177477
0.4,1.0,1.0,0.001,0.05,0.3,0.25,235.13763875935157
0.4,1.0,1.0,0.1,0.05,0.3,0.25,247.50371130149207
0.4,1.0,1.0,0.01,0.05,0.3,0.25,239.50952862536758
0.4,1.0,1.0,1e-05,0.05,0.3,0.25,227.38436465776508
0.4,1.0,1.0,1.0,0.05,0.3,0.25,266.3815536299071
0.5,1.0,1e-06,1e-06,0.05,0.3,0.25,210.11888289777647
0.4,1.0,10.0,0.001,0.05,0.3,0.25,231.7420164236185
0.4,1.0,10.0,0.0001,0.05,0.3,0.25,227.0334390072753
0.5,1.0,1e-06,1e-05,0.05,0.3,0.25,211.83290512424338
0.5,1.0,1e-06,0.0001,0.05,0.3,0.25,213.84592686123193
0.5,1.0,1e-06,0.01,0.05,0.3,0.25,218.63756722530118
