Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.4,1.0,0.1,0.0001,0.05,0.3,0.25,248.0051918410888
0.4,1.0,0.01,0.001,0.05,0.3,0.25,238.52309937053047
0.4,1.0,0.1,1e-05,0.05,0.3,0.25,244.84977765601928
0.4,1.0,0.1,0.1,0.05,0.3,0.25,266.1940381360409
0.4,1.0,0.1,0.01,0.05,0.3,0.25,256.9140246464979
0.4,1.0,0.01,0.1,0.05,0.3,0.25,250.11021462099038
0.4,1.0,1.0,1e-06,0.05,0.3,0.25,272.04364597162765
0.4,1.0,1.0,1e-05,0.05,0.3,0.25,272.7263954976528
0.4,1.0,0.1,1e-06,0.05,0.3,0.25,242.6291011129575
0.4,1.0,1.0,0.0001,0.05,0.3,0.25,274.46476815120184
0.4,1.0,0.1,10.0,0.05,0.3,0.25,273.4800326605972
0.4,1.0,0.1,0.001,0.05,0.3,0.25,252.0955442717347
0.4,1.0,1.0,0.1,0.05,0.3,0.25,299.7952917232888
0.4,1.0,1.0,0.001,0.05,0.3,0.25,277.425237659051
0.4,1.0,1.0,0.01,0.05,0.3,0.25,283.2054855170664
0.4,1.0,0.1,1.0,0.05,0.3,0.25,286.6412602291174
0.4,1.0,10.0,1e-05,0.05,0.3,0.25,420.7561298849577
0.5,1.0,1e-06,1e-06,0.05,0.3,0.25,210.40857573835584
0.4,1.0,10.0,0.01,0.05,0.3,0.25,434.71139472570144
0.4,1.0,10.0,0.0001,0.05,0.3,0.25,422.2024119262272
0.4,1.0,1.0,1.0,0.05,0.3,0.25,342.75717645758124
0.4,1.0,10.0,0.1,0.05,0.3,0.25,450.7948981041705
0.5,1.0,1e-06,0.0001,0.05,0.3,0.25,214.1429366510083
0.5,1.0,1e-06,0.001,0.05,0.3,0.25,216.58617793670606
0.4,1.0,10.0,1e-06,0.05,0.3,0.25,420.152883894085
0.4,1.0,10.0,10.0,0.05,0.3,0.25,375.0831913495964
0.5,1.0,1e-06,0.01,0.05,0.3,0.25,218.93073738765537
0.5,1.0,1e-06,1e-05,0.05,0.3,0.25,212.12605288751686
0.5,1.0,1e-06,1.0,0.05,0.3,0.25,230.0405765004382
0.4,1.0,1.0,10.0,0.05,0.3,0.25,294.9557235825188
0.5,1.0,1e-05,1e-06,0.05,0.3,0.25,213.73329760296156
0.5,1.0,1e-05,1e-05,0.05,0.3,0.25,215.62381399521664
0.5,1.0,1e-06,10.0,0.05,0.3,0.25,229.97871030535137
0.5,1.0,1e-06,0.1,0.05,0.3,0.25,222.03616644830456
0.5,1.0,1e-05,0.001,0.05,0.3,0.25,220.49651668921456
0.4,1.0,10.0,0.001,0.05,0.3,0.25,426.52473827197525
0.5,1.0,1e-05,0.01,0.05,0.3,0.25,223.13359534930072
0.5,1.0,1e-05,0.0001,0.05,0.3,0.25,217.82824761418811
0.5,1.0,1e-05,0.1,0.05,0.3,0.25,226.81299629596037
0.5,1.0,0.0001,1e-06,0.05,0.3,0.25,219.66616415746117
0.5,1.0,1e-05,10.0,0.05,0.3,0.25,232.74254792265933
0.5,1.0,1e-05,1.0,0.05,0.3,0.25,236.3767722137626
0.5,1.0,0.0001,0.0001,0.05,0.3,0.25,224.43840904633737
0.5,1.0,0.0001,1.0,0.05,0.3,0.25,249.08001308146183
0.5,1.0,0.0001,10.0,0.05,0.3,0.25,240.01407026040596
