Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_26,1886.0703709917536,M5,6371000.0,5.972e+24,38112.27990012846,0.07142013268595132,0.4157009415134356,0.05,0.6666,True,0.77,False,0.55,True,True,527.891,Success
run_27,1960.7018143526416,M5,6371000.0,5.972e+24,146902.0518613149,0.386716700367633,0.44837540763935146,0.05,0.6666,True,0.77,False,0.55,True,True,569.719,Success
run_29,1520.9322093059154,M5,6371000.0,5.972e+24,55520.55246414,7.379814942634486e-05,0.000890446945497191,0.05,0.6666,True,0.77,False,0.55,True,True,383.193,Success
run_20,1713.232308223669,M5,6371000.0,5.972e+24,161387.51492919037,0.0006725263052227048,6.841317368159726e-05,0.05,0.6666,True,0.77,False,0.55,True,True,398.236,Success
run_28,1101.2477697734184,M5,6371000.0,5.972e+24,245881.92504957388,0.41399618401318944,1.4520476915895798e-05,0.05,0.6666,True,0.77,False,0.55,True,True,399.151,Success
run_25,1056.040623979648,M5,6371000.0,5.972e+24,172248.4445673437,2.040762163681468e-06,4.363682533490467e-05,0.05,0.6666,True,0.77,False,0.55,True,True,346.767,Success
run_30,891.1922523564045,M5,6371000.0,5.972e+24,225750.952256651,0.012354643204557859,0.24830362826965718,0.05,0.6666,True,0.77,False,0.55,True,True,516.257,Success
run_32,514.0223832735066,M5,6371000.0,5.972e+24,31692.4380192605,0.15850669452147706,0.043433347952286906,0.05,0.6666,True,0.77,False,0.55,True,True,320.316,Success
run_24,555.8695778671333,M5,6371000.0,5.972e+24,13616.767909236065,7.794319066414221e-05,5.075476819290886e-05,0.05,0.6666,True,0.77,False,0.55,True,True,264.952,Success
run_34,1659.134926712076,M5,6371000.0,5.972e+24,11893.835922251477,1.6051223000253557e-05,0.048971087168397785,0.05,0.6666,True,0.77,False,0.55,True,True,381.865,Success
run_36,1220.710786905285,M5,6371000.0,5.972e+24,40617.79859529949,3.1671785709436866e-05,0.008838266030931501,0.05,0.6666,True,0.77,False,0.55,True,True,363.301,Success
run_39,1979.7463554879348,M5,6371000.0,5.972e+24,31343.4399881023,1.5719640971983724e-06,0.37198274062851605,0.05,0.6666,True,0.77,False,0.55,True,True,460.207,Success
