,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
182,test,0.7,0.5,1e-05,217.8553612446794,Success
183,test,0.7,0.5,0.0001,220.66586643441255,Success
184,test,0.7,0.5,0.001,224.47863065863143,Success
185,test,0.7,0.5,0.01,229.44806792929683,Success
186,test,0.7,0.5,0.1,240.70365311241116,Success
187,test,0.7,0.5,1.0,286.3368082158525,Success
188,test,0.7,0.5,10.0,326.4961776496797,Interpolated
189,test,0.7999999999999999,0.0,1e-07,269.31252299985425,Success
190,test,0.7999999999999999,0.0,1e-06,271.63080573646863,Success
191,test,0.7999999999999999,0.0,1e-05,276.1772006159202,Success
192,test,0.7999999999999999,0.0,0.0001,282.25479619545945,Success
193,test,0.7999999999999999,0.0,0.001,290.4854454830982,Success
194,test,0.7999999999999999,0.0,0.01,307.0516499634174,Success
195,test,0.7999999999999999,0.0,0.1,350.0,Runaway
196,test,0.7999999999999999,0.0,1.0,350.0,Runaway
197,test,0.7999999999999999,0.0,10.0,350.0,Runaway
198,test,0.7999999999999999,0.25,1e-07,248.23421435475663,Success
199,test,0.7999999999999999,0.25,1e-06,250.1918949766266,Success
200,test,0.7999999999999999,0.25,1e-05,253.7897549710241,Success
201,test,0.7999999999999999,0.25,0.0001,258.5690074885199,Success
202,test,0.7999999999999999,0.25,0.001,264.938399861662,Success
203,test,0.7999999999999999,0.25,0.01,274.54725359432064,Success
204,test,0.7999999999999999,0.25,0.1,299.1174903813361,Success
205,test,0.7999999999999999,0.25,1.0,350.0,Runaway
206,test,0.7999999999999999,0.25,10.0,350.0,Runaway
207,test,0.7999999999999999,0.5,1e-07,222.41335113779635,Success
208,test,0.7999999999999999,0.5,1e-06,223.86030118113783,Success
209,test,0.7999999999999999,0.5,1e-05,226.3808908771458,Success
210,test,0.7999999999999999,0.5,0.0001,229.67905192120517,Success
211,test,0.7999999999999999,0.5,0.001,234.2132117443485,Success
212,test,0.7999999999999999,0.5,0.01,240.362107611116,Success
213,test,0.7999999999999999,0.5,0.1,256.04079969814927,Success
214,test,0.7999999999999999,0.5,1.0,350.0,Runaway
215,test,0.7999999999999999,0.5,10.0,350.0,Runaway
216,test,0.8999999999999999,0.0,1e-07,282.6433943450681,Success
217,test,0.8999999999999999,0.0,1e-06,285.4631195579168,Success
218,test,0.8999999999999999,0.0,1e-05,291.42400017331147,Success
219,test,0.8999999999999999,0.0,0.0001,301.8713857406415,Success
220,test,0.8999999999999999,0.0,0.001,319.61653673374553,Success
221,test,0.8999999999999999,0.0,0.01,350.0,Runaway
222,test,0.8999999999999999,0.0,0.1,350.0,Runaway
223,test,0.8999999999999999,0.0,1.0,350.0,Runaway
224,test,0.8999999999999999,0.0,10.0,350.0,Runaway
225,test,0.8999999999999999,0.25,1e-07,258.42480576245225,Success
226,test,0.8999999999999999,0.25,1e-06,260.7143339266787,Success
227,test,0.8999999999999999,0.25,1e-05,265.0545999961497,Success
228,test,0.8999999999999999,0.25,0.0001,270.9366168412073,Success
229,test,0.8999999999999999,0.25,0.001,278.93382032529485,Success
230,test,0.8999999999999999,0.25,0.01,293.6161103871686,Success
231,test,0.8999999999999999,0.25,0.1,350.0,Runaway
232,test,0.8999999999999999,0.25,1.0,350.0,Runaway
233,test,0.8999999999999999,0.25,10.0,350.0,Runaway
234,test,0.8999999999999999,0.5,1e-07,230.2568754320824,Success
235,test,0.8999999999999999,0.5,1e-06,231.89703313314217,Success
236,test,0.8999999999999999,0.5,1e-05,234.82278068100297,Success
237,test,0.8999999999999999,0.5,0.0001,238.7040998354544,Success
238,test,0.8999999999999999,0.5,0.001,244.10268321467413,Success
239,test,0.8999999999999999,0.5,0.01,251.9137958992806,Success
240,test,0.8999999999999999,0.5,0.1,274.8338963019245,Success
241,test,0.8999999999999999,0.5,1.0,350.0,Runaway
242,test,0.8999999999999999,0.5,10.0,350.0,Runaway
243,test,1.0,0.0,1e-07,350.0,Runaway
244,test,1.0,0.0,1e-06,350.0,Runaway
245,test,1.0,0.0,1e-05,350.0,Runaway
246,test,1.0,0.0,0.0001,350.0,Runaway
247,test,1.0,0.0,0.001,350.0,Runaway
248,test,1.0,0.0,0.01,350.0,Runaway
249,test,1.0,0.0,0.1,350.0,Runaway
250,test,1.0,0.0,1.0,350.0,Runaway
251,test,1.0,0.0,10.0,350.0,Runaway
252,test,1.0,0.25,1e-07,269.2189243554004,Success
253,test,1.0,0.25,1e-06,271.93723287530776,Success
254,test,1.0,0.25,1e-05,277.35494860676533,Success
255,test,1.0,0.25,0.0001,284.99017629639246,Success
256,test,1.0,0.25,0.001,298.5067317502088,Success
257,test,1.0,0.25,0.01,350.0,Runaway
258,test,1.0,0.25,0.1,350.0,Runaway
259,test,1.0,0.25,1.0,350.0,Runaway
260,test,1.0,0.25,10.0,350.0,Runaway
261,test,1.0,0.5,1e-07,238.0705919777352,Success
262,test,1.0,0.5,1e-06,239.94069416056837,Success
263,test,1.0,0.5,1e-05,243.3454067008263,Success
264,test,1.0,0.5,0.0001,247.9729085820531,Success
265,test,1.0,0.5,0.001,254.55019671383465,Success
266,test,1.0,0.5,0.01,265.13550019180155,Success
267,test,1.0,0.5,0.1,303.6351852379085,Success
268,test,1.0,0.5,1.0,350.0,Runaway
269,test,1.0,0.5,10.0,350.0,Runaway
270,test,1.1,0.0,1e-07,350.0,Runaway
271,test,1.1,0.0,1e-06,350.0,Runaway
272,test,1.1,0.0,1e-05,350.0,Runaway
273,test,1.1,0.0,0.0001,350.0,Runaway
274,test,1.1,0.0,0.001,350.0,Runaway
275,test,1.1,0.0,0.01,350.0,Runaway
276,test,1.1,0.0,0.1,350.0,Runaway
277,test,1.1,0.0,1.0,350.0,Runaway
278,test,1.1,0.0,10.0,350.0,Runaway
279,test,1.1,0.25,1e-07,281.8725065765962,Success
280,test,1.1,0.25,1e-06,285.3920520359434,Success
281,test,1.1,0.25,1e-05,293.7717219532892,Success
282,test,1.1,0.25,0.0001,326.7882455314156,Success
283,test,1.1,0.25,0.001,350.0,Runaway
284,test,1.1,0.25,0.01,350.0,Runaway
285,test,1.1,0.25,0.1,350.0,Runaway
286,test,1.1,0.25,1.0,350.0,Runaway
287,test,1.1,0.25,10.0,350.0,Runaway
288,test,1.1,0.5,1e-07,245.98879885861936,Success
289,test,1.1,0.5,1e-06,248.15840764874608,Success
290,test,1.1,0.5,1e-05,252.20857924395045,Success
291,test,1.1,0.5,0.0001,257.88140087556195,Success
292,test,1.1,0.5,0.001,266.38790851583,Success
293,test,1.1,0.5,0.01,282.3329305622912,Success
294,test,1.1,0.5,0.1,350.0,Runaway
295,test,1.1,0.5,1.0,350.0,Runaway
296,test,1.1,0.5,10.0,350.0,Runaway
297,test,1.2,0.0,1e-07,350.0,Runaway
298,test,1.2,0.0,1e-06,350.0,Runaway
299,test,1.2,0.0,1e-05,350.0,Runaway
300,test,1.2,0.0,0.0001,350.0,Runaway
301,test,1.2,0.0,0.001,350.0,Runaway
302,test,1.2,0.0,0.01,350.0,Runaway
303,test,1.2,0.0,0.1,350.0,Runaway
304,test,1.2,0.0,1.0,350.0,Runaway
305,test,1.2,0.0,10.0,350.0,Runaway
306,test,1.2,0.25,1e-07,350.0,Runaway
307,test,1.2,0.25,1e-06,350.0,Runaway
308,test,1.2,0.25,1e-05,350.0,Runaway
309,test,1.2,0.25,0.0001,350.0,Runaway
310,test,1.2,0.25,0.001,350.0,Runaway
311,test,1.2,0.25,0.01,350.0,Runaway
312,test,1.2,0.25,0.1,350.0,Runaway
313,test,1.2,0.25,1.0,350.0,Runaway
314,test,1.2,0.25,10.0,350.0,Runaway
315,test,1.2,0.5,1e-07,254.2867092951529,Success
316,test,1.2,0.5,1e-06,256.8681113665601,Success
317,test,1.2,0.5,1e-05,261.8779156436337,Success
318,test,1.2,0.5,0.0001,269.34808454915753,Success
319,test,1.2,0.5,0.001,281.0981031126631,Success
320,test,1.2,0.5,0.01,350.0,Runaway
321,test,1.2,0.5,0.1,350.0,Runaway
322,test,1.2,0.5,1.0,350.0,Runaway
323,test,1.2,0.5,10.0,350.0,Runaway
324,test,1.3,0.0,1e-07,350.0,Runaway
325,test,1.3,0.0,1e-06,350.0,Runaway
326,test,1.3,0.0,1e-05,350.0,Runaway
327,test,1.3,0.0,0.0001,350.0,Runaway
328,test,1.3,0.0,0.001,350.0,Runaway
329,test,1.3,0.0,0.01,350.0,Runaway
330,test,1.3,0.0,0.1,350.0,Runaway
331,test,1.3,0.0,1.0,350.0,Runaway
332,test,1.3,0.0,10.0,350.0,Runaway
333,test,1.3,0.25,1e-07,350.0,Runaway
334,test,1.3,0.25,1e-06,350.0,Runaway
335,test,1.3,0.25,1e-05,350.0,Runaway
336,test,1.3,0.25,0.0001,350.0,Runaway
337,test,1.3,0.25,0.001,350.0,Runaway
338,test,1.3,0.25,0.01,350.0,Runaway
339,test,1.3,0.25,0.1,350.0,Runaway
340,test,1.3,0.25,1.0,350.0,Runaway
341,test,1.3,0.25,10.0,350.0,Runaway
342,test,1.3,0.5,1e-07,263.4638119553339,Success
343,test,1.3,0.5,1e-06,266.7358199581135,Success
344,test,1.3,0.5,1e-05,273.5543071846677,Success
345,test,1.3,0.5,0.0001,284.2536618051953,Success
346,test,1.3,0.5,0.001,350.0,Runaway
347,test,1.3,0.5,0.01,350.0,Runaway
348,test,1.3,0.5,0.1,350.0,Runaway
349,test,1.3,0.5,1.0,350.0,Runaway
350,test,1.3,0.5,10.0,350.0,Runaway
351,test,1.4,0.0,1e-07,350.0,Runaway
352,test,1.4,0.0,1e-06,350.0,Runaway
353,test,1.4,0.0,1e-05,350.0,Runaway
354,test,1.4,0.0,0.0001,350.0,Runaway
355,test,1.4,0.0,0.001,350.0,Runaway
356,test,1.4,0.0,0.01,350.0,Runaway
357,test,1.4,0.0,0.1,350.0,Runaway
358,test,1.4,0.0,1.0,350.0,Runaway
359,test,1.4,0.0,10.0,350.0,Runaway
360,test,1.4,0.25,1e-07,350.0,Runaway
361,test,1.4,0.25,1e-06,350.0,Runaway
362,test,1.4,0.25,1e-05,350.0,Runaway
363,test,1.4,0.25,0.0001,350.0,Runaway
364,test,1.4,0.25,0.001,350.0,Runaway
365,test,1.4,0.25,0.01,350.0,Runaway
366,test,1.4,0.25,0.1,350.0,Runaway
367,test,1.4,0.25,1.0,350.0,Runaway
368,test,1.4,0.25,10.0,350.0,Runaway
369,test,1.4,0.5,1e-07,274.9707031359559,Success
370,test,1.4,0.5,1e-06,279.4139459239945,Success
371,test,1.4,0.5,1e-05,291.9445280594106,Success
372,test,1.4,0.5,0.0001,350.0,Runaway
373,test,1.4,0.5,0.001,350.0,Runaway
374,test,1.4,0.5,0.01,350.0,Runaway
375,test,1.4,0.5,0.1,350.0,Runaway
376,test,1.4,0.5,1.0,350.0,Runaway
377,test,1.4,0.5,10.0,350.0,Runaway
378,test,1.5,0.0,1e-07,350.0,Runaway
379,test,1.5,0.0,1e-06,350.0,Runaway
380,test,1.5,0.0,1e-05,350.0,Runaway
381,test,1.5,0.0,0.0001,350.0,Runaway
382,test,1.5,0.0,0.001,350.0,Runaway
383,test,1.5,0.0,0.01,350.0,Runaway
384,test,1.5,0.0,0.1,350.0,Runaway
385,test,1.5,0.0,1.0,350.0,Runaway
386,test,1.5,0.0,10.0,350.0,Runaway
387,test,1.5,0.25,1e-07,350.0,Runaway
388,test,1.5,0.25,1e-06,350.0,Runaway
389,test,1.5,0.25,1e-05,350.0,Runaway
390,test,1.5,0.25,0.0001,350.0,Runaway
391,test,1.5,0.25,0.001,350.0,Runaway
392,test,1.5,0.25,0.01,350.0,Runaway
393,test,1.5,0.25,0.1,350.0,Runaway
394,test,1.5,0.25,1.0,350.0,Runaway
395,test,1.5,0.25,10.0,350.0,Runaway
396,test,1.5,0.5,1e-07,350.0,Runaway
397,test,1.5,0.5,1e-06,350.0,Runaway
398,test,1.5,0.5,1e-05,350.0,Runaway
399,test,1.5,0.5,0.0001,350.0,Runaway
400,test,1.5,0.5,0.001,350.0,Runaway
401,test,1.5,0.5,0.01,350.0,Runaway
402,test,1.5,0.5,0.1,350.0,Runaway
403,test,1.5,0.5,1.0,350.0,Runaway
404,test,1.5,0.5,10.0,350.0,Runaway
