,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
207,test,0.7999999999999999,0.5,1e-07,267.7509518443424,Success
208,test,0.7999999999999999,0.5,1e-06,270.5025134184287,Success
209,test,0.7999999999999999,0.5,1e-05,278.2640053703421,Success
210,test,0.7999999999999999,0.5,0.0001,288.2116492256516,Success
211,test,0.7999999999999999,0.5,0.001,307.1924975913858,Success
212,test,0.7999999999999999,0.5,0.01,338.0342699345015,Success
213,test,0.7999999999999999,0.5,0.1,350.0,Runaway
214,test,0.7999999999999999,0.5,1.0,350.0,Runaway
215,test,0.7999999999999999,0.5,10.0,350.0,Runaway
216,test,0.8999999999999999,0.0,1e-07,350.0,Runaway
217,test,0.8999999999999999,0.0,1e-06,350.0,Runaway
218,test,0.8999999999999999,0.0,1e-05,350.0,Runaway
219,test,0.8999999999999999,0.0,0.0001,350.0,Runaway
220,test,0.8999999999999999,0.0,0.001,350.0,Runaway
221,test,0.8999999999999999,0.0,0.01,350.0,Runaway
222,test,0.8999999999999999,0.0,0.1,350.0,Runaway
223,test,0.8999999999999999,0.0,1.0,350.0,Runaway
224,test,0.8999999999999999,0.0,10.0,350.0,Runaway
225,test,0.8999999999999999,0.25,1e-07,350.0,Runaway
226,test,0.8999999999999999,0.25,1e-06,350.0,Runaway
227,test,0.8999999999999999,0.25,1e-05,350.0,Runaway
228,test,0.8999999999999999,0.25,0.0001,350.0,Runaway
229,test,0.8999999999999999,0.25,0.001,350.0,Runaway
230,test,0.8999999999999999,0.25,0.01,350.0,Runaway
231,test,0.8999999999999999,0.25,0.1,350.0,Runaway
232,test,0.8999999999999999,0.25,1.0,350.0,Runaway
233,test,0.8999999999999999,0.25,10.0,350.0,Runaway
234,test,0.8999999999999999,0.5,1e-07,292.19852973172726,Success
235,test,0.8999999999999999,0.5,1e-06,298.5764642850367,Success
236,test,0.8999999999999999,0.5,1e-05,318.0047979861127,Success
237,test,0.8999999999999999,0.5,0.0001,350.0,Runaway
238,test,0.8999999999999999,0.5,0.001,350.0,Runaway
239,test,0.8999999999999999,0.5,0.01,350.0,Runaway
240,test,0.8999999999999999,0.5,0.1,350.0,Runaway
241,test,0.8999999999999999,0.5,1.0,350.0,Runaway
242,test,0.8999999999999999,0.5,10.0,350.0,Runaway
243,test,1.0,0.0,1e-07,350.0,Runaway
244,test,1.0,0.0,1e-06,350.0,Runaway
245,test,1.0,0.0,1e-05,350.0,Runaway
246,test,1.0,0.0,0.0001,350.0,Runaway
247,test,1.0,0.0,0.001,350.0,Runaway
248,test,1.0,0.0,0.01,350.0,Runaway
249,test,1.0,0.0,0.1,350.0,Runaway
250,test,1.0,0.0,1.0,350.0,Runaway
251,test,1.0,0.0,10.0,350.0,Runaway
252,test,1.0,0.25,1e-07,350.0,Runaway
253,test,1.0,0.25,1e-06,350.0,Runaway
254,test,1.0,0.25,1e-05,350.0,Runaway
255,test,1.0,0.25,0.0001,350.0,Runaway
256,test,1.0,0.25,0.001,350.0,Runaway
257,test,1.0,0.25,0.01,350.0,Runaway
258,test,1.0,0.25,0.1,350.0,Runaway
259,test,1.0,0.25,1.0,350.0,Runaway
260,test,1.0,0.25,10.0,350.0,Runaway
261,test,1.0,0.5,1e-07,350.0,Runaway
262,test,1.0,0.5,1e-06,350.0,Runaway
263,test,1.0,0.5,1e-05,350.0,Runaway
264,test,1.0,0.5,0.0001,350.0,Runaway
265,test,1.0,0.5,0.001,350.0,Runaway
266,test,1.0,0.5,0.01,350.0,Runaway
267,test,1.0,0.5,0.1,350.0,Runaway
268,test,1.0,0.5,1.0,350.0,Runaway
269,test,1.0,0.5,10.0,350.0,Runaway
270,test,1.1,0.0,1e-07,350.0,Runaway
271,test,1.1,0.0,1e-06,350.0,Runaway
272,test,1.1,0.0,1e-05,350.0,Runaway
273,test,1.1,0.0,0.0001,350.0,Runaway
274,test,1.1,0.0,0.001,350.0,Runaway
275,test,1.1,0.0,0.01,350.0,Runaway
276,test,1.1,0.0,0.1,350.0,Runaway
277,test,1.1,0.0,1.0,350.0,Runaway
278,test,1.1,0.0,10.0,350.0,Runaway
279,test,1.1,0.25,1e-07,350.0,Runaway
280,test,1.1,0.25,1e-06,350.0,Runaway
281,test,1.1,0.25,1e-05,350.0,Runaway
282,test,1.1,0.25,0.0001,350.0,Runaway
283,test,1.1,0.25,0.001,350.0,Runaway
284,test,1.1,0.25,0.01,350.0,Runaway
285,test,1.1,0.25,0.1,350.0,Runaway
286,test,1.1,0.25,1.0,350.0,Runaway
287,test,1.1,0.25,10.0,350.0,Runaway
288,test,1.1,0.5,1e-07,350.0,Runaway
289,test,1.1,0.5,1e-06,350.0,Runaway
290,test,1.1,0.5,1e-05,350.0,Runaway
291,test,1.1,0.5,0.0001,350.0,Runaway
292,test,1.1,0.5,0.001,350.0,Runaway
293,test,1.1,0.5,0.01,350.0,Runaway
294,test,1.1,0.5,0.1,350.0,Runaway
295,test,1.1,0.5,1.0,350.0,Runaway
296,test,1.1,0.5,10.0,350.0,Runaway
297,test,1.2,0.0,1e-07,350.0,Runaway
298,test,1.2,0.0,1e-06,350.0,Runaway
299,test,1.2,0.0,1e-05,350.0,Runaway
300,test,1.2,0.0,0.0001,350.0,Runaway
301,test,1.2,0.0,0.001,350.0,Runaway
302,test,1.2,0.0,0.01,350.0,Runaway
303,test,1.2,0.0,0.1,350.0,Runaway
304,test,1.2,0.0,1.0,350.0,Runaway
305,test,1.2,0.0,10.0,350.0,Runaway
306,test,1.2,0.25,1e-07,350.0,Runaway
307,test,1.2,0.25,1e-06,350.0,Runaway
308,test,1.2,0.25,1e-05,350.0,Runaway
309,test,1.2,0.25,0.0001,350.0,Runaway
310,test,1.2,0.25,0.001,350.0,Runaway
311,test,1.2,0.25,0.01,350.0,Runaway
312,test,1.2,0.25,0.1,350.0,Runaway
313,test,1.2,0.25,1.0,350.0,Runaway
